"-bom BOM.csv -parts ""JLCPCB SMT Parts Library(20200826).xlsx""",/home/marshal/Documents/uSDX/uSDX.sch,,,,,,
Date:,Tue 25 Aug 2020 01:35:07 PM PDT,,,,,,
Tool:,Eeschema 5.1.6,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,
Component Count:,190,,,,,,
Ref,LCSC part number,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C101, C406,",C15850,10,10u,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C102, C106, C201, C202, C203, C208, C213, C214, C309, C404,",C49678,15,100n,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C103, C104, ",C45783,2,22u,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C105, C204, C205, C207, C209,",C28323,7,1u,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C206, C210, C301, C414,",C1710,5,10n,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C211, C215, ",C15850,2,15u,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C212, C216, ",C307539,2,150n,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C302, C303, C304, C305, ",C1740,4,330n,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C307, C308, C417, ",C1743,3,470p,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C405, ",C1814,1,33p,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C408, ",C46653,1,1n,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C411, C415, ",C1716,2,150p,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C416, C418, ",C53172,2,220p,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C419, ",C14857,1,47p,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C420, ",,1,750p,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C421, ",,1,130p,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"C422, ",C170118,1,390p,C,Capacitors_SMD:C_0805,Unpolarized capacitor,
"D101, D102",,1,D_Schottky,D_Schottky,Diodes_SMD:D_0805,Schottky diode,
"D102, D201, D204, D205, D206, D207, D208, D301, D401, D402, ",C181201,10,BAT54S,D_Schottky_x2_Serial_AKC,TO_SOT_Packages_SMD:SOT-23,"Dual Schottky diode, anode/cathode/center",
"D103, D104, D202, D203, ",C2293,4,LED,LED,LEDs:LED_0805,Light emitting diode,
"FB301, ",C1017,1,Ferrite_Bead,Ferrite_Bead,Resistors_SMD:R_0805,Ferrite bead,
"L101, ",C1779,1,4.7u,L,Inductors_SMD:L_0805,Inductor,
"L401, ",C1042,1,1u,L,Inductors_THT:L_Toroid_Vertical_L24.6mm_W15.5mm_P11.44mm_Pulse_KM-4,Inductor,
"Q401, Q402, Q403, Q404, ",C8492,4,BS170F,BS170F,TO_SOT_Packages_SMD:SOT-23,"0.15A Id, 60V Vds, N-Channel MOSFET, SOT-23",
"R101, R202, R204, R210, R211, R303, R404,",C17414,10,10k,R_US,Resistors_SMD:R_0805,"Resistor, US symbol",
"R102, R203, R205, R207, R208, R212, R213, R216, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R228, R229, R230, R231, R232,",C17513,25,1k,R_US,Resistors_SMD:R_0805,"Resistor, US symbol",
"R201, ",C17470,1,150k,R_US,Resistors_SMD:R_0805,"Resistor, US symbol",
"R206, R209, R304, R305, R403, ",C17408,5,100,R_US,Resistors_SMD:R_0805,"Resistor, US symbol",
"R214, R215, ",C26112,2,2M,R_US,Resistors_SMD:R_0805,"Resistor, US symbol",
"R227, ",C17514,2,1M,R_US,Resistors_SMD:R_0805,"Resistor, US symbol",
"R301, R302, ",C17540,2,200,R_US,Resistors_SMD:R_0805,"Resistor, US symbol",
"R306, R307, ",C17840,2,82k,R_US,Resistors_SMD:R_0805,"Resistor, US symbol",
"R401, R402, ",C17471,2,150,R_US,Resistors_SMD:R_0805,"Resistor, US symbol",
"TH401, ",C51597,1,10k_NTC,Thermistor_NTC_US,Resistors_SMD:R_0805,"Temperature dependent resistor, negative temperature coefficient, US symbol",
"U101, ",C5446,1,AP6320x,AP6320x,TO_SOT_Packages_SMD:SOT-23-6,,
"U202, U304, U305, ",C57367,3,LM4562,LM4562,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,"Dual High-Performance, High-Fidelity Audio Operational Amplifier, DIP-8/SOIC-8/TO-99-8",
"U301, ",C105246,1,74CBTLV3253,FST3253,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,,
"U302, ",C352946,1,74ACT00,74LS00,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,quad 2-input NAND gate,
